Metode,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.7866666666666666,0.7786848942718951,0.7866666666666666,0.7505701917130488
Random Forest,0.8066666666666666,0.7959861218557329,0.8066666666666666,0.7968417090156221
